project_url,n_dev,truck_factor,gini_commits,proj_failed
https://github.com/google-research/meta-dataset.git,10,1,0.7392857142857141,1
https://github.com/google-research/tensor2robot.git,18,2,0.7231598687294889,1
https://github.com/google-research/text-to-text-transfer-transformer.git,13,1,0.7015384615384617,1
https://github.com/google/TensorNetwork.git,15,1,0.7174280879864636,1
https://github.com/google/automl.git,35,1,0.8611125620266389,1
https://github.com/google/clusterfuzz.git,35,2,0.8658081023454158,1
https://github.com/google/fhir.git,24,2,0.7847777777777778,1
https://github.com/google/flax.git,214,4,0.8671507099905817,1
https://github.com/google/ml-metadata.git,10,2,0.6906976744186046,1
https://github.com/google/nucleus.git,9,1,0.7054886211512716,1
https://github.com/google/qkeras.git,15,2,0.6312056737588652,1
https://github.com/google/tf-quant-finance.git,12,2,0.6540000000000001,1
https://github.com/graknlabs/kglib.git,4,1,0.7325581395348837,1
https://github.com/graphbrain/graphbrain.git,8,1,0.846875,1
https://github.com/greentfrapp/lucent.git,5,1,0.7055555555555555,1
https://github.com/guildai/guildai.git,2,1,0.49906103286384984,1
https://github.com/guillaume-be/rust-bert.git,47,1,0.9326949067459551,0
https://github.com/hamelsmu/code_search.git,2,1,0.368421052631579,1
https://github.com/hanxiao/bert-as-service.git,29,1,0.8727372840525844,1
https://github.com/hasanirtiza/Pedestron.git,54,2,0.86368196639077,1
https://github.com/hastagAB/Awesome-Python-Scripts.git,145,3,0.6339263489274471,1
https://github.com/henrysky/astroNN.git,2,1,0.49916247906197664,1
https://github.com/heronsystems/adeptRL.git,8,1,0.8003875968992249,1
https://github.com/hrpan/tetris_mcts.git,4,1,0.7230046948356808,1
https://github.com/hse-aml/natural-language-processing.git,2,1,0.16666666666666674,1
https://github.com/huggingface/neuralcoref.git,11,1,0.73953013278856,1
https://github.com/hunglc007/tensorflow-yolov4-tflite.git,13,1,0.7663280116110305,1
https://github.com/hunkim/DeepLearningZeroToAll.git,57,2,0.7567426027755957,1
https://github.com/hunkim/PyTorchZeroToAll.git,13,1,0.7850098619329389,1
https://github.com/huseinzol05/Malaya.git,10,1,0.8809421841541756,0
https://github.com/huseinzol05/NLP-Models-Tensorflow.git,3,1,0.6593939393939394,1
https://github.com/hysts/pytorch_image_classification.git,1,1,0.0,1
https://github.com/idealo/image-super-resolution.git,11,1,0.7682119205298015,1
https://github.com/inferno-pytorch/inferno.git,22,2,0.792044090363418,1
https://github.com/interpretml/DiCE.git,23,2,0.8464794151596768,0
https://github.com/interpretml/interpret-community.git,22,1,0.8084549195660307,1
https://github.com/interpretml/interpret-text.git,19,3,0.6094182825484764,1
https://github.com/iskandr/fancyimpute.git,12,1,0.8077557755775577,1
https://github.com/jakeret/tf_unet.git,14,1,0.8226247436773753,1
https://github.com/jantic/DeOldify.git,41,1,0.8769316700800596,1
https://github.com/jeongyoonlee/Kaggler.git,9,1,0.8425196850393701,1
https://github.com/jessevig/bertviz.git,6,1,0.8062770562770563,0
https://github.com/jettify/pytorch-optimizer.git,26,1,0.8635720601237842,1
https://github.com/jim-schwoebel/voicebook.git,2,1,0.4950617283950618,1
